"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"75275","ПОКРОВСКОЕ","57.63","42.15","2023-02-22 08:00:00","131.0","-4.0","133.0","","","","2","4","","2023-02-22 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001373","Р.CEHДEГA","","2132"
"75275","ПОКРОВСКОЕ","57.63","42.15","2023-02-23 08:00:00","130.0","-1.0","131.0","","","","994","3","","2023-02-23 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001373","Р.CEHДEГA","","2133"
"75275","ПОКРОВСКОЕ","57.63","42.15","2023-02-21 08:00:00","135.0","0.0","135.0","","","","981","","","2023-02-21 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001373","Р.CEHДEГA","","2134"
"75275","ПОКРОВСКОЕ","57.63","42.15","2023-02-20 08:00:00","135.0","0.0","135.0","","","47","990","0","3","2023-02-20 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001373","Р.CEHДEГA","","2135"
"75275","ПОКРОВСКОЕ","57.63","42.15","2023-02-19 08:00:00","135.0","0.0","135.0","","","","995","1","","2023-02-19 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001373","Р.CEHДEГA","","2136"
"75555","ВЯЗНИКИ","56.25","42.16","2023-02-25 08:00:00","10.0","1.0","","","","54","","","5","2023-02-25 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110003115","Р.KЛЯЗЬMA","","2137"
"75555","ВЯЗНИКИ","56.25","42.16","2023-02-24 08:00:00","9.0","1.0","","","","","","","","2023-02-24 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110003115","Р.KЛЯЗЬMA","","2138"
"75555","ВЯЗНИКИ","56.25","42.16","2023-02-22 08:00:00","6.0","-1.0","","","","","","","","2023-02-22 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110003115","Р.KЛЯЗЬMA","","2139"
"75555","ВЯЗНИКИ","56.25","42.16","2023-02-23 08:00:00","8.0","2.0","","","","","","","","2023-02-23 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110003115","Р.KЛЯЗЬMA","","2140"
"75555","ВЯЗНИКИ","56.25","42.16","2023-02-21 08:00:00","7.0","-1.0","","","","","","","","2023-02-21 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110003115","Р.KЛЯЗЬMA","","2141"
"75555","ВЯЗНИКИ","56.25","42.16","2023-02-20 08:00:00","8.0","0.0","","","","52","","","5","2023-02-20 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110003115","Р.KЛЯЗЬMA","","2142"
"75555","ВЯЗНИКИ","56.25","42.16","2023-02-19 08:00:00","8.0","0.0","","","","","","","","2023-02-19 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110003115","Р.KЛЯЗЬMA","","2143"
"75935","КИНЕШМА (ОГП ПРИ КИНЕШМА ОГМС)","57.35","42.18","2023-02-25 08:00:00","291.0","1.0","291.0","","","17","992","1","2","2023-02-25 06:00:00.0","","","","","","","","2144"
"75935","КИНЕШМА (ОГП ПРИ КИНЕШМА ОГМС)","57.35","42.18","2023-02-24 08:00:00","290.0","2.0","289.0","","","","0","0","","2023-02-24 06:00:00.0","","","","","","","","2145"
"75935","КИНЕШМА (ОГП ПРИ КИНЕШМА ОГМС)","57.35","42.18","2023-02-22 08:00:00","284.0","1.0","284.0","","","","1","3","","2023-02-22 06:00:00.0","","","","","","","","2146"
"75935","КИНЕШМА (ОГП ПРИ КИНЕШМА ОГМС)","57.35","42.18","2023-02-23 08:00:00","288.0","4.0","286.0","","","","0","0","","2023-02-23 06:00:00.0","","","","","","","","2147"
"75935","КИНЕШМА (ОГП ПРИ КИНЕШМА ОГМС)","57.35","42.18","2023-02-21 08:00:00","283.0","-2.0","284.0","","","","2","2","","2023-02-21 06:00:00.0","","","","","","","","2148"
"75935","КИНЕШМА (ОГП ПРИ КИНЕШМА ОГМС)","57.35","42.18","2023-02-20 08:00:00","285.0","-1.0","285.0","","","15","993","2","2","2023-02-20 06:00:00.0","","","","","","","","2149"
"75935","КИНЕШМА (ОГП ПРИ КИНЕШМА ОГМС)","57.35","42.18","2023-02-19 08:00:00","286.0","1.0","286.0","","","","0","0","","2023-02-19 06:00:00.0","","","","","","","","2150"
"78164","УВАРОВО (ГП ПРИ ОБЛОВКА М)","51.96","42.26","2023-02-21 08:00:00","-37.0","2.0","","0.0","-3.0","","","","","2023-02-21 04:00:00.0","","","","","","","","2151"
"78164","УВАРОВО (ГП ПРИ ОБЛОВКА М)","51.96","42.26","2023-02-22 08:00:00","-36.0","1.0","","0.0","-16.0","","","","","2023-02-22 04:00:00.0","","","","","","","","2152"
"75239","ГНЕЗДИКОВО","59.07","42.3","2023-02-25 08:00:00","19.0","0.0","19.0","","","","","","","2023-02-25 06:00:00.0","53","ГП","42","ЦЕНТРАЛЬНОЕ УГМС","110001166","Р.KOCTPOMA","","2153"
