gauge_id,NSE,day,encoder,decoder
5072,0.6762696979705816,364,q_mm_day,prcp_e5l
72481,0.5613029205717472,365,q_mm_day,prcp_e5l
6411,0.7389643705896757,364,q_mm_day,prcp_e5l
70522,0.6534414687949759,319,q_mm_day,prcp_e5l
8095,-337.9110830002571,1,q_mm_day,prcp_e5l
75290,0.7275704013341951,2,q_mm_day,prcp_e5l
76661,0.7919199985880034,359,q_mm_day,prcp_e5l
83174,-659.3851349812758,1,q_mm_day,prcp_e5l
10075,0.8414724749914543,1,q_mm_day,prcp_e5l
7172,0.5399057424165267,361,q_mm_day,prcp_e5l
84078,-825.9024887599571,1,q_mm_day,prcp_e5l
72566,0.7584516455146051,1,q_mm_day,prcp_e5l
84213,-2807.457783039581,1,q_mm_day,prcp_e5l
78225,0.6158525599631701,1,q_mm_day,prcp_e5l
48011,0.7366341864780757,1,q_mm_day,prcp_e5l
70597,0.6997278059964289,364,q_mm_day,prcp_e5l
10058,0.7279198815901828,364,q_mm_day,prcp_e5l
10554,0.5880333844785033,361,q_mm_day,prcp_e5l
75254,0.8051251414399763,1,q_mm_day,prcp_e5l
83063,0.8842605315012196,2,q_mm_day,prcp_e5l
5074,0.6906374540993637,1,q_mm_day,prcp_e5l
3074,0.6797377218237155,1,q_mm_day,prcp_e5l
72577,0.7970066345826876,365,q_mm_day,prcp_e5l
9329,0.8530734167615162,1,q_mm_day,prcp_e5l
75631,0.7442150554822239,1,q_mm_day,prcp_e5l
48090,-1173.023776092547,1,q_mm_day,prcp_e5l
83369,0.5763972313044206,1,q_mm_day,prcp_e5l
19154,0.6205410443350929,1,q_mm_day,prcp_e5l
75463,0.687693237972226,1,q_mm_day,prcp_e5l
78393,0.8767176676052446,1,q_mm_day,prcp_e5l
8374,0.8412365907111998,1,q_mm_day,prcp_e5l
76165,0.7077640193454026,364,q_mm_day,prcp_e5l
4240,0.7411309225680718,1,q_mm_day,prcp_e5l
3083,-152.36875205893972,363,q_mm_day,prcp_e5l
5507,0.7135236121665264,317,q_mm_day,prcp_e5l
9166,0.824323842916514,365,q_mm_day,prcp_e5l
8347,0.6871109792376437,1,q_mm_day,prcp_e5l
76275,0.7042985875543311,363,q_mm_day,prcp_e5l
76499,0.8513037238687272,1,q_mm_day,prcp_e5l
8188,0.8611678310832805,365,q_mm_day,prcp_e5l
19383,0.5606674235893413,1,q_mm_day,prcp_e5l
83340,0.8304747168952201,1,q_mm_day,prcp_e5l
72162,0.7514069067678388,1,q_mm_day,prcp_e5l
5254,-185.05811229319664,36,q_mm_day,prcp_e5l
5580,0.57026007351087,364,q_mm_day,prcp_e5l
10475,0.8047896916452815,39,q_mm_day,prcp_e5l
10453,-65341.51431001746,365,q_mm_day,prcp_e5l
76325,0.6650848793269295,354,q_mm_day,prcp_e5l
77407,0.8125216621802044,365,q_mm_day,prcp_e5l
10110,0.745093984142758,1,q_mm_day,prcp_e5l
49054,-5308.17017499655,361,q_mm_day,prcp_e5l
75615,0.46647127613444817,1,q_mm_day,prcp_e5l
78144,0.8790450008544751,1,q_mm_day,prcp_e5l
4102,0.5709184799089835,1,q_mm_day,prcp_e5l
6076,0.7955894252280787,364,q_mm_day,prcp_e5l
8120,0.3668772826571687,1,q_mm_day,prcp_e5l
78345,0.8824473812771826,1,q_mm_day,prcp_e5l
75427,0.6266556879053113,1,q_mm_day,prcp_e5l
11639,0.8246117521380495,362,q_mm_day,prcp_e5l
4116,0.6438938002120801,1,q_mm_day,prcp_e5l
5148,0.45385904290530155,1,q_mm_day,prcp_e5l
19135,-5.289551502935889,1,q_mm_day,prcp_e5l
77246,0.8727991898280207,1,q_mm_day,prcp_e5l
80197,0.8463825270858881,1,q_mm_day,prcp_e5l
10223,0.6354163575506152,2,q_mm_day,prcp_e5l
84342,-82.14634367351384,1,q_mm_day,prcp_e5l
9417,0.7139024696348746,358,q_mm_day,prcp_e5l
4160,0.6669486717779189,1,q_mm_day,prcp_e5l
71104,0.48020151149879164,363,q_mm_day,prcp_e5l
10292,0.7288631761801769,1,q_mm_day,prcp_e5l
76176,0.7322119879213395,365,q_mm_day,prcp_e5l
70246,0.6763340593065972,1,q_mm_day,prcp_e5l
5597,0.35900830114078797,1,q_mm_day,prcp_e5l
9372,0.8377466862340864,362,q_mm_day,prcp_e5l
9563,0.8427725034760792,1,q_mm_day,prcp_e5l
9546,0.7035586843614764,364,q_mm_day,prcp_e5l
10571,-1168.65205226415,365,q_mm_day,prcp_e5l
76461,0.7254958936200644,365,q_mm_day,prcp_e5l
9217,-211.86168504130129,2,q_mm_day,prcp_e5l
76130,0.7324126915463838,364,q_mm_day,prcp_e5l
72761,0.6476836745215493,365,q_mm_day,prcp_e5l
5211,0.8305711556824287,2,q_mm_day,prcp_e5l
83314,0.8954503721166893,1,q_mm_day,prcp_e5l
82046,0.4016924634399369,1,q_mm_day,prcp_e5l
11335,0.8549960832313638,344,q_mm_day,prcp_e5l
10539,0.5697423764704881,362,q_mm_day,prcp_e5l
76533,0.7881093204814072,1,q_mm_day,prcp_e5l
49052,0.7599013039035549,364,q_mm_day,prcp_e5l
78141,0.8652971484624874,1,q_mm_day,prcp_e5l
7060,0.6831225291101491,1,q_mm_day,prcp_e5l
8281,0.793207581806173,1,q_mm_day,prcp_e5l
75664,0.5230505128042195,1,q_mm_day,prcp_e5l
3156,0.7960146975467626,1,q_mm_day,prcp_e5l
11675,0.7419969729376747,185,q_mm_day,prcp_e5l
10133,-5832.688906030456,1,q_mm_day,prcp_e5l
70129,0.4480574569851328,365,q_mm_day,prcp_e5l
76500,0.8970062819490722,1,q_mm_day,prcp_e5l
7130,-407.59740118607056,365,q_mm_day,prcp_e5l
1534,0.8093172714121126,31,q_mm_day,prcp_e5l
76701,0.7609456166068427,362,q_mm_day,prcp_e5l
72661,0.756250576118503,2,q_mm_day,prcp_e5l
10073,-365.8961477491053,2,q_mm_day,prcp_e5l
70382,0.7487300852726,362,q_mm_day,prcp_e5l
70212,0.7436216822822175,2,q_mm_day,prcp_e5l
78092,0.8218954223495474,1,q_mm_day,prcp_e5l
7066,-99.84985761444153,1,q_mm_day,prcp_e5l
72198,0.7907168643676983,1,q_mm_day,prcp_e5l
2027,0.7345212191517643,365,q_mm_day,prcp_e5l
77362,0.16080119709552798,1,q_mm_day,prcp_e5l
78504,0.7970617507761162,1,q_mm_day,prcp_e5l
10059,0.4900766134671114,1,q_mm_day,prcp_e5l
72518,0.7104660940440626,1,q_mm_day,prcp_e5l
19167,0.5823726468863932,361,q_mm_day,prcp_e5l
19159,0.8272908782404363,359,q_mm_day,prcp_e5l
11620,0.9306232308186784,21,q_mm_day,prcp_e5l
8375,0.736548436290603,364,q_mm_day,prcp_e5l
19049,0.723300599008667,1,q_mm_day,prcp_e5l
11357,0.8834794090063248,1,q_mm_day,prcp_e5l
72098,-1462.4503985433607,1,q_mm_day,prcp_e5l
78623,0.8651199690899724,1,q_mm_day,prcp_e5l
84448,-88474.68940258259,365,q_mm_day,prcp_e5l
70118,0.5856886946819466,365,q_mm_day,prcp_e5l
72654,-249.41850570696707,24,q_mm_day,prcp_e5l
19039,0.7706330360970748,365,q_mm_day,prcp_e5l
78252,0.7425146894111212,1,q_mm_day,prcp_e5l
10387,0.7982175292318193,210,q_mm_day,prcp_e5l
4235,0.6229172718648257,1,q_mm_day,prcp_e5l
10385,0.7318906511584926,365,q_mm_day,prcp_e5l
70614,0.7013351675150203,1,q_mm_day,prcp_e5l
