"Платформа: идентификатор локальный","Платформа: название","Широта точки (град., дес.доли град)","Долгота точки (град., дес.доли град)","Дата и время","Уровень воды над нулем поста","Уровень воды: аномалия","Уровень воды: среднее","Температура воды","Температура воздуха","Лед (припай): толщина","Осадки: количество  (код)","Осадки: длительность выпадения  (код)","Снег: высота","Дата","Организация: вид деятельности","Платформа: тип","Организация: идентификатор локальный","Организация: название","Геообъект: код","Геообъект: название","Geometry (точка, поверхность, сетка)","Единица данных::номер"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-22 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-22 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3430"
"76011","ТЮЛЬКИНО","59.83","56.51","2023-02-21 08:00:00","114.0","0.0","114.0","","","","","","","2023-02-21 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100001","Р.КАМА","","3431"
"76280","СЫРТЛАНОВО","52.98","56.53","2023-02-23 08:00:00","101.0","0.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3432"
"76280","СЫРТЛАНОВО","52.98","56.53","2023-02-24 08:00:00","101.0","0.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3433"
"76280","СЫРТЛАНОВО","52.98","56.53","2023-02-25 08:00:00","101.0","0.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3434"
"76280","СЫРТЛАНОВО","52.98","56.53","2023-02-26 08:00:00","101.0","0.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3435"
"76280","СЫРТЛАНОВО","52.98","56.53","2023-02-27 08:00:00","101.0","0.0","","","","","","","","2023-02-27 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3436"
"76280","СЫРТЛАНОВО","52.98","56.53","2023-02-22 08:00:00","101.0","1.0","","","","","","","","2023-02-22 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3437"
"76280","СЫРТЛАНОВО","52.98","56.53","2023-02-21 08:00:00","100.0","0.0","","","","","","","","2023-02-21 04:00:00.0","53","ГП","16","ФГБУ 'БАШКИРСКОЕ УГМС'","111101673","P.БEЛAЯ","","3438"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-27 08:00:00","325.0","-2.0","326.0","","","","7","4","","2023-02-27 03:00:00.0","","","","","","","","3439"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-26 08:00:00","327.0","-4.0","329.0","","","","2","4","","2023-02-26 03:00:00.0","","","","","","","","3440"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-24 08:00:00","333.0","0.0","333.0","","","","0","0","","2023-02-24 03:00:00.0","","","","","","","","3441"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-24 08:00:00","333.0","0.0","333.0","","","","0","0","","2023-02-23 03:00:00.0","","","","","","","","3442"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-23 08:00:00","333.0","-9.0","335.0","","","","0","0","","2023-02-24 03:00:00.0","","","","","","","","3443"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-25 08:00:00","331.0","-2.0","332.0","","","","0","0","","2023-02-25 03:00:00.0","","","","","","","","3444"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-23 08:00:00","333.0","-9.0","335.0","","","","0","0","","2023-02-23 03:00:00.0","","","","","","","","3445"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-22 08:00:00","342.0","-2.0","340.0","","","","4","4","","2023-02-22 03:00:00.0","","","","","","","","3446"
"76918","ВЕРХНЕЧУСОВСКИЕ ГОРОДКИ","58.16","57.15","2023-02-21 08:00:00","344.0","-3.0","342.0","","","","998","3","","2023-02-21 03:00:00.0","","","","","","","","3447"
"76159","КАРАГАЙ","58.28","54.91","2023-02-27 08:00:00","40.0","0.0","40.0","0.3","","","9","4","","2023-02-27 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100922","Р.ОБВА","","3448"
"76159","КАРАГАЙ","58.28","54.91","2023-02-26 08:00:00","40.0","0.0","40.0","0.2","","","2","2","","2023-02-26 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100922","Р.ОБВА","","3449"
"76159","КАРАГАЙ","58.28","54.91","2023-02-24 08:00:00","40.0","0.0","40.0","","","","0","0","","2023-02-24 03:00:00.0","53","ГП","36","УРАЛЬСКОЕ УГМС","111100922","Р.ОБВА","","3450"
